Index,track_uri,track_name,artist_name,artist_pop,artist_genre_1,artist_genre_2,artist_genre_3,artist_genre_4,artist_genre_5,artist_genre_6,Summary Genre1,Summary Genre2,Summary Genre3,Summary Genre4,Summary Genre5,Summary Genre6,Value Genre1,Value Genre2,Value Genre3,Value Genre4,Value Genre5,Value Genre6,Main Artist Genre,Main Artist Genre Name,album,album_date,danceability,acousticness,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
379,spotify:track:0ULPav7qqKTHn7vgi9v42k,Enjoy the Silence,Depeche Mode,71,dance rock,new romantic,new wave,permanent wave,synthpop,,Rock,Other,New Wave,New Wave,Pop,,2,99,20,20,8,,2,Rock,"The Best of Depeche Mode, Vol. 1 (Deluxe)",2006-11-08,0.646,0.0839,0.763,6.12E-05,0,0.0944,-8.046,0,0.0273,112.931,0.736
89,spotify:track:3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,87,permanent wave,pop,,,,,New Wave,Pop,,,,,20,8,,,,,8,Pop,Parachutes,2000-07-10,0.429,0.00239,0.661,0.000121,11,0.234,-7.227,1,0.0281,173.372,0.285
100,spotify:track:48UPSzbZjgc449aqz8bxox,Californication,Red Hot Chili Peppers,82,alternative rock,funk metal,funk rock,permanent wave,,,Alternative Rock,Metal,Rock,New Wave,,,18,6,2,20,,,2,Rock,Californication (Deluxe Edition),1999-06-08,0.592,0.0021,0.767,0.00165,9,0.127,-2.788,0,0.027,96.483,0.328
528,spotify:track:5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nirvana,80,alternative rock,grunge,permanent wave,rock,,,Alternative Rock,Grunge,New Wave,Rock,,,18,21,20,2,,,2,Rock,Nevermind (Remastered),1991-09-26,0.502,2.55E-05,0.912,0.000173,1,0.106,-4.556,1,0.0564,116.761,0.72
2899,spotify:track:06h9kk12VjJ2bqcBc6IScR,"Landslide - Live at Warner Brothers Studios in Burbank, CA 5/23/97",Fleetwood Mac,78,album rock,classic rock,mellow gold,rock,soft rock,yacht rock,Rock,Rock,Other,Rock,Rock,Rock,2,2,99,2,2,2,2,Rock,The Dance,1997-08-19,0.399,0.834,0.426,0.000241,10,0.686,-10.262,1,0.0446,145.179,0.433
3348,spotify:track:54flyrjcdnQdco7300avMJ,We Will Rock You - Remastered 2011,Queen,84,classic rock,glam rock,rock,,,,Rock,Rock,Rock,,,,2,2,2,,,,2,Rock,News Of The World (Deluxe Remastered Version),1977-10-28,0.693,0.679,0.497,0,2,0.258,-7.316,1,0.119,81.308,0.473
5260,spotify:track:2GAIycsMaDVtMtdvxzR2xI,Bohemian Rhapsody - Remastered 2011,Queen,84,classic rock,glam rock,rock,,,,Rock,Rock,Rock,,,,2,2,2,,,,2,Rock,Queen 40 Limited Edition Collector's Box Set,2011-01-01,0.392,0.288,0.402,0,0,0.243,-9.961,0,0.0536,143.883,0.228
2203,spotify:track:1BKT2I9x4RGKaKqW4up34s,Ruff Ryders' Anthem,DMX,69,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,Hip Hop,Rap,Hip Hop,Hip Hop,Rap,Rap,4,3,4,4,3,3,3,Rap,It's Dark And Hell Is Hot,1998-05-01,0.88,0.0564,0.577,1.02E-06,10,0.201,-8.093,0,0.302,90.991,0.74
2568,spotify:track:2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger,Survivor,66,album rock,hard rock,rock,soft rock,,,Rock,Rock,Rock,Rock,,,2,2,2,2,,,2,Rock,Rocky IV,1985-01-01,0.817,0.132,0.599,0.000311,0,0.0873,-9.249,0,0.0328,108.873,0.548
1912,spotify:track:3GKL13lkM5nRc4zC1lIOrR,Still Not a Player (feat. Joe) - Radio Version,Big Pun,61,bronx hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,hip pop,Hip Hop,Hip Hop,Rap,Hip Hop,Hip Hop,Pop,4,4,3,4,4,8,3,Rap,Capital Punishment (Explicit Version),1998-04-28,0.9,0.203,0.619,0.00156,4,0.0647,-6.518,0,0.312,94.121,0.864
